index,company,url,market_category,primary_audience,offer_type,hero_h1_live,main_cta_live,main_cta_href,cta_confidence,proof_signals_detected,page_length_category,screenshot_width,screenshot_height,label_node_id,screenshot_node_id,screenshot_node_name,x_position,live_fetch_status,final_url_checked,analysis_notes,ai_in_prominent_messaging,ai_prominent_evidence,tracking_scripts_detected,tracking_vendors_detected,active_content_motion_detected,content_motion_evidence,free_or_downloadable_resource_detected,downloadable_resource_evidence,privacy_or_terms_detected,privacy_terms_evidence,question_analysis_fetch_status,question_analysis_final_url
57,Aledade,https://aledade.com,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Physician-ledvalue-based care,Contact us,https://aledade.com/more-information?hsLang=en,high,quantified outcomes/stats; case studies,medium,817,2937,152:24,153:44,image 59,44314,ok,https://aledade.com,,no,,yes,Google Analytics / gtag; Google Tag Manager; HubSpot,yes,Current Partner Resources -> https://aledade.com/practice-resource-hub | Read the announcement -> https://aledade.com/newsroom/aledade-news/aledade-joins-cms-access-model?hsLang=en | Learn more about the technology -> https://aledade.com/value-based-care-resources/case-studies/aledade-assist-and-clinical-insights?hsLang=en | Read our insights -> https://aledade.com/value-based-care-resources/hot-topics-in-health-care-policy/cms-lead-model-explained?hsLang=en | Success Stories -> https://aledade.com/value-based-care-resources/tag/success-stories,no,,yes,Trust Center -> https://aledade.com/aledade-trust-center?hsLang=en | Privacy Policy -> https://aledade.com/privacy-policy?hsLang=en | Your Privacy Choices -> https://aledade.com/?hsLang=en#consent,ok,https://aledade.com
58,Pearl Health,https://www.pearlhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,VALUE-BASED CARE INTELLIGENCE | Unlock the full value of value-based care.,Contact Us,https://meetings.hubspot.com/join-pearl,high,HIPAA; quantified outcomes/stats; customer proof,long,909,4286,153:46,153:71,image 60,45322,ok,https://www.pearlhealth.com/,,yes,AI,yes,Google Analytics / gtag; HubSpot,yes,Blog -> https://www.pearlhealth.com/blog | Read it now  -> https://www.pearlhealth.com/top-50-vbc-thinkers/2026/report | Medicare AdvantageExtend success across your full Medicare population with payer -> https://www.pearlhealth.com/medicare-advantage | Visit the blog -> https://www.pearlhealth.com/blog | /blog/healthcare-doesnt-have-a-data-problem-anymore-it-has-a-decision-problem -> https://www.pearlhealth.com/blog/healthcare-doesnt-have-a-data-problem-anymore-it-has-a-decision-problem,yes,Read it now  -> https://www.pearlhealth.com/top-50-vbc-thinkers/2026/report,yes,Privacy Policy -> https://www.pearlhealth.com/privacy-policy | Terms of Use -> https://www.pearlhealth.com/terms-of-use | Compliance -> https://www.pearlhealth.com/about,ok,https://www.pearlhealth.com/
59,Memora Health,https://www.commure.com/engage,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Guide patients through every step of care with AI-powered patient engagement,contact,https://www.commure.com/contact,high,quantified outcomes/stats; customer proof; case studies,long,736,4096,153:50,153:74,image 61,46289,ok,https://www.commure.com/engage,,yes,AI,yes,Google Analytics / gtag; Meta / Facebook Pixel; LinkedIn Insight; HubSpot,yes,All -> https://www.commure.com/resources | Blog -> https://www.commure.com/resources/clinicians?type=Blog | Customer Stories -> https://www.commure.com/resources/clinicians?type=Customer+Story | Webinars -> https://www.commure.com/resources/clinicians?type=Webinar | Reports -> https://www.commure.com/resources/clinicians?type=whitepapers,yes,Webinars -> https://www.commure.com/resources/clinicians?type=Webinar | Webinar -> https://www.commure.com/resources/executives?type=Webinar | Webinars -> https://www.commure.com/resources/finance?type=Webinar | WebinarsOn-demand AI healthcare discussions -> https://www.commure.com/resources?type=Webinar | Webinars -> https://www.commure.com/resources?type=Webinar,yes,"Trust Center -> https://www.commure.com/trust-center | Trust CenterSecurity, privacy, and compliance across our platform -> https://www.commure.com/trust-center | Privacy -> https://www.commure.com/legal/privacy-policy | Terms of Use -> https://www.commure.com/legal/general-terms-of-use | Cookie Notice -> https://www.commure.com/legal/cookie-notice",ok,https://www.commure.com/engage
60,Privia Health,https://www.priviahealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,"We Do Well, Together. | We Do Well, Together.",Contact Us,https://www.priviahealth.com/contact-us/,high,quantified outcomes/stats,medium,988,3044,153:54,153:77,image 62,47296,ok,https://www.priviahealth.com/,,no,,yes,Google Tag Manager; Pardot / Salesforce; Cookiebot / OneTrust,yes,"NEWS -> https://www.priviahealth.com/newsroom/ | Blog -> https://www.priviahealth.com/blog-page/ | Blog -> https://www.priviahealth.com/media/blog-page/ | Privia Health Reports First Quarter 2026 Financial Results May 7, 2026 Strong Fi -> https://www.priviahealth.com/press-release/privia-health-reports-first-quarter-2026-financial-results/ | Privia Health Reports Fourth Quarter and Full-Year 2025 Financial Results Februa -> https://www.priviahealth.com/press-release/privia-health-reports-fourth-quarter-and-full-year-2025/",yes,"Privia Health to Report First Quarter 2025 Results on Thursday, May 8 April 9, 2 -> https://www.priviahealth.com/press-release/privia-health-to-report-first-quarter-2025-results-on-thursday-may-8/ | Your Guide to Value-Based Care for Independent Physicians November 30, 2022 Disc -> https://www.priviahealth.com/blog/your-free-guide-to-value-based-care-for-independent-physicians/ | SMS Privacy Policy -> https://www.myprivia.com/sites/default/files/2024-11/SMS_Privacy_Policy.pdf | California Privacy Policy -> https://www.priviahealth.com/wp-content/uploads/2023/06/california-privacy-policy.pdf | [TX] Notice of Use of AI -> https://www.myprivia.com/sites/default/files/2026-03/[TX]_Notice_of_Use_of_Artificial_Intelligence_for_Clinical_Support.",yes,Privacy and Compliance -> https://www.priviahealth.com/privacy-and-compliance/ | SMS Privacy Policy -> https://www.myprivia.com/sites/default/files/2024-11/SMS_Privacy_Policy.pdf | Notice of Privacy Practices -> https://www.priviahealth.com/privacy-and-compliance/ | California Privacy Policy -> https://www.priviahealth.com/wp-content/uploads/2023/06/california-privacy-policy.pdf,ok,https://www.priviahealth.com/
61,Agilon Health,https://www.agilonhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Health Care Reimagined. | Focus on Patient Care.,Contact Us,https://www.agilonhealth.com/contact-us,high,quantified outcomes/stats,long,1139,3476,153:58,153:80,image 63,48549,ok,https://www.agilonhealth.com/,,no,,yes,Google Tag Manager; LinkedIn Insight,yes,News -> https://www.agilonhealth.com/news/ | #article -> https://www.agilonhealth.com/#article | Report Compliance Concerns -> https://report.syntrio.com/agilonhealth | Jump to Content -> https://www.agilonhealth.com/#article,yes,Report Compliance Concerns -> https://report.syntrio.com/agilonhealth,yes,Statement of Privacy Practices -> https://www.agilonhealth.com/statement-of-privacy-practices/ | ONC Compliance -> https://www.agilonhealth.com/onc-health-it-disclosures/ | Report Compliance Concerns -> https://report.syntrio.com/agilonhealth | Privacy Policy -> https://www.agilonhealth.com/privacy-policy,ok,https://www.agilonhealth.com/
62,Modern Health,https://www.modernhealth.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,The Global Standard in Mental Health,Let’s Talk,https://www.modernhealth.com/request-demo,high,HIPAA; quantified outcomes/stats; customer proof; case studies,long,748,4096,153:62,154:83,image 64,49637,ok,https://www.modernhealth.com/,,no,,yes,Google Analytics / gtag; Google Tag Manager; Marketo; Qualified,yes,Blog -> https://www.modernhealth.com/blog | Case Studies -> https://www.modernhealth.com/case-studies | Events -> https://www.modernhealth.com/events | Join the Excitement: Watch the Play panel discussion with Naomi Osaka and our cu -> https://explore.modernhealth.com/play-and-social-conection?utm_source=linkedin&utm_medium=social&utm_campaign=play-webin | Resources -> https://www.modernhealth.com/,yes,Join the Excitement: Watch the Play panel discussion with Naomi Osaka and our cu -> https://explore.modernhealth.com/play-and-social-conection?utm_source=linkedin&utm_medium=social&utm_campaign=play-webin,yes,Compliance -> https://www.modernhealth.com/compliance | Privacy -> https://www.modernhealth.com/privacy | HIPAA Notice -> https://www.modernhealth.com/hipaa | Security -> https://www.modernhealth.com/security | Terms of Use -> https://www.modernhealth.com/terms-of-use,ok,https://www.modernhealth.com/
63,Headway,https://headway.co/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,,Find care,,manual web,,long,992,3669,153:66,154:102,image 65,50699,ok via web fallback,https://headway.co/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.,unknown,,unknown,,unknown,,unknown,,unknown,,HTTPError: HTTP Error 403: Forbidden,https://headway.co/
64,Grow Therapy,https://growtherapy.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,"Mental health made easy, covered by insurance",Contact us,https://growtherapy.jotform.com/grow-support/contact-us,high,quantified outcomes/stats,long,754,4096,154:85,154:105,image 66,51764,ok,https://growtherapy.com/,,no,,yes,VWO,yes,Blog -> https://growtherapy.com/blog | Blog -> https://growtherapy.com/blog/ | here -> https://growtherapy.com/blog/crisis-hotlines-and-resources,no,,yes,Website privacy policy -> https://growtherapy.com/legal/privacy-policies/ | Terms of service -> https://growtherapy.com/legal/terms-of-service/ | Nondiscrimination policy -> https://growtherapy.com/legal/nondiscrimination-policy/ | Informed consent -> https://growtherapy.com/legal/informed-consent/ | Practice policy -> https://growtherapy.com/legal/practice-policies/,ok,https://growtherapy.com/
65,Alma,https://helloalma.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Find the right therapist who accepts your insurance,Join Alma,https://helloalma.com/for-providers#form,medium,HIPAA; quantified outcomes/stats,long,732,3411,154:89,154:108,image 67,52699,ok,https://helloalma.com/,,no,,yes,Google Analytics / gtag; HubSpot; Marketo; Pardot / Salesforce; Cookiebot / OneTrust,yes,Resource Hub -> https://helloalma.com/for-providers/resources | Blog -> https://helloalma.com/blog/ | Blog -> https://helloalma.com/blog | UHC Student Resources -> https://secure.helloalma.com/providers-results/uhc_student_resources?footer=true,no,,yes,Privacy Policy -> https://helloalma.com/pp/ | Client Terms of Use -> https://helloalma.com/client-tou,ok,https://helloalma.com/
66,SonderMind,https://www.sondermind.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Find quality therapy & psychiatrycovered by insurance,Contact Us,https://www.sondermind.com/contact-us/,high,quantified outcomes/stats,long,608,4008,154:93,154:111,image 68,53561,ok,https://www.sondermind.com/,,yes,AI,yes,Google Analytics / gtag; Google Tag Manager; HubSpot,yes,"Articles and Content -> https://www.sondermind.com/resources/articles-and-content/ | Clinical Resources -> https://www.sondermind.com/resources/clinical-resources/ | Research and Insights -> https://www.sondermind.com/research/ | .button.s-1214074423 , .s-1214074423 .button { color: #004455; border-radius: 0. -> https://start.sondermind.com/?_gl=1*1ftncw8*_gcl_aw*R0NMLjE2OTQ0NTg4NzcuQ2owS0NRanc5ZnFuQmhEU0FSSXNBSGxjUVlTT2NVS0Y5UXJ1 | Emergency Resources -> https://www.sondermind.com/emergency-resources/",yes,Download the App -> https://sondermind-app.onelink.me/YCuA/xj4gw002?deep_link_value=dashboard,yes,Privacy Policy -> https://privacy.sondermind.com/policies/en/?name=privacy-policy | Terms of Service -> https://privacy.sondermind.com/policies/en/?name=terms-of-service | Notice of Privacy Practices -> https://privacy.sondermind.com/policies?name=notice-of-privacy-practices | CA Privacy Notice -> https://privacy.sondermind.com/policies?name=privacy-policy#ccpa-notice-at-collection,ok,https://www.sondermind.com/
67,NeuroFlow,https://www.neuroflow.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Holistic Data Analysis Surfaces Hidden Behavioral Health Risk in Your Population | Behavioral Health Expertise Unlocks New Opportunities for Program Design Improvements,Contact,https://www.neuroflow.com/contact-us/,high,quantified outcomes/stats; customer proof,long,929,3293,154:97,154:154,image 69,54572,ok,https://www.neuroflow.com/,,yes,ML,yes,Google Analytics / gtag; Google Tag Manager; LinkedIn Insight; HubSpot; Hotjar,yes,Resources -> https://www.neuroflow.com/resource-hub/ | Blog -> https://www.neuroflow.com/blog/ | Read the Press Release -> https://news.ibx.com/neuroflow-tool/ | Resources -> https://www.neuroflow.com/resources/client-resources/,no,,yes,Terms of Service -> https://neuroflow.com/terms-of-service/ | Privacy Notice -> https://privacy.cptn.co/privacy-policy/e6ede817-4797-4c81-9203-1bf2c80ab11a | Privacy Request -> https://dsar.cptn.co/dsar/7ff7d112-e1ca-4208-b4d6-6d844842f042,ok,https://www.neuroflow.com/
68,Carrot Fertility,https://www.get-carrot.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Unlock support for life’s major moments | Unlock support for life’s major moments,Contact us,https://www.get-carrot.com/contact-us,high,quantified outcomes/stats; customer proof; case studies,long,822,4096,154:113,154:157,image 70,55730,ok,https://www.get-carrot.com/,,no,,yes,Google Tag Manager; Marketo; Cookiebot / OneTrust,yes,Introducing Carrot Intelligence: a proprietary global AI platform for fertility  -> https://www.get-carrot.com/blog/carrot-intelligence | Resource center -> https://www.get-carrot.com/resource-center | Blogs -> https://www.get-carrot.com/blog | Guides -> https://www.get-carrot.com/library | Case studies -> https://www.get-carrot.com/case-studies,no,,yes,Privacy -> https://www.get-carrot.com/privacy-policy | Trust center -> https://www.get-carrot.com/trust-center | Washington Consumer Health Data Privacy Policy -> https://www.get-carrot.com/privacy-policy/washington-state-addendum,ok,https://www.get-carrot.com/
69,Progyny,https://progyny.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Your partner in health | Progyny helps organizations just like yours,Contact us,https://progyny.com/contact-us/,high,quantified outcomes/stats,long,822,4267,154:117,155:160,image 71,56796,ok,https://progyny.com/,,no,,yes,Google Analytics / gtag; Google Tag Manager; LinkedIn Insight; HubSpot; Mixpanel; Cookiebot / OneTrust,yes,Resources -> https://progyny.com/ | Progyny blog -> https://progyny.com/blog/ | Employer resources -> https://progyny.com/for-employers/employer-resources/ | Resources -> https://progyny.com/education/ | credentialing -> https://progyny.com/blog/fertility-in-the-workplace/why-credentialing-is-the-backbone-of-quality-healthcare/,yes,Read More -> https://progyny.com/blog/fertility-family-building/what-to-expect-on-a-family-building-journey-webinar/,yes,Privacy -> https://progyny.com/privacy-policy/ | Legal -> https://progyny.com/lp/,ok,https://progyny.com/
70,Ovia Health,https://www.oviahealth.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Supporting women’s health at every age and stage of life,Request a Demo,https://www.oviahealth.com/#demo-request,high,quantified outcomes/stats,long,822,4322,154:121,155:163,image 72,57836,ok,https://www.oviahealth.com/,,no,,yes,Demandbase; Cookiebot / OneTrust,yes,Resources -> https://www.oviahealth.com/resources/,no,,yes,Privacy Policy -> https://www.oviahealth.com/privacy-policy/ | Non-App Privacy Policy -> https://www.oviahealth.com/non-app-privacy-policy/ | Terms of Use -> https://www.oviahealth.com/terms-of-use/ | Vulnerability Disclosure Policy -> https://www.labcorp.com/compliance/privacy/web/vulnerability,ok,https://www.oviahealth.com/
71,Kindbody,https://kindbody.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Leading the Future of Fertility Care,Schedule,https://kindbody.com/scheduling/location-select/all/,high,HIPAA; quantified outcomes/stats,medium,824,2830,154:125,155:166,image 73,58861,ok,https://kindbody.com/,,yes,artificial intelligence; AI,yes,Google Tag Manager; LinkedIn Insight; HubSpot; Pardot / Salesforce; Segment; Hotjar,yes,Blog -> https://kindbody.com/blog/ | Resources -> https://kindbody.com/infertility-causes/ | Resources -> https://kindbody.com/ | ACCESS TO CARE -> https://kindbody.com/access-to-care-resources/,no,,yes,Privacy Policy -> https://kindbody.com/privacy-policy-2024/ | Terms of Use -> https://kindbody.com/terms-of-use-2024/ | HIPAA Privacy -> https://kindbody.com/notice-of-hipaa-privacy-practices-2024/ | CA Employee Privacy -> https://kindbody.com/california-employee-privacy-policy-2024/,ok,https://kindbody.com/
72,Transcarent,https://transcarent.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Transcarent is the One Place for Health and CareTM,BOOK A DEMO,https://transcarent.com/request-a-demo,high,quantified outcomes/stats; customer proof,long,822,3739,154:129,155:172,image 74,59935,ok,https://transcarent.com/,,yes,AI; agentic; Agentic,yes,Google Tag Manager; HubSpot; Cookiebot / OneTrust,yes,"InsightsAccess real-world insights tailored for benefits leaders -> https://transcarent.com/insights | NewsroomExplore the latest news, webinars, videos, & podcasts -> https://transcarent.com/press-releases | Events & WebinarsSee our upcoming and on-demand webinars and events -> https://transcarent.com/events-webinars | BlogDive into health and care strategies, tips, and stories -> https://transcarent.com/blog | WATCH NOW -> https://transcarent.com/webinars/ai-buyers-questions-benefits-leaders-ask-vendors",no,,yes,Terms of Service -> https://transcarent.com/terms-of-service | Privacy Policy -> https://transcarent.com/privacy-policy | Notice of Privacy Practice -> https://transcarent.com/notice-of-privacy-practices,ok,https://transcarent.com/
73,Included Health,https://includedhealth.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Included Health® - Healthcare Navigation & Virtual Care,Contact Us Looking for support? Get in touch—we're here to help.,https://includedhealth.com/contact-us/,high,quantified outcomes/stats; case studies,long,822,3594,154:133,155:175,image 75,60975,ok,https://includedhealth.com/,,no,,yes,Google Tag Manager; Cookiebot / OneTrust,yes,"Blog Read up on members' stories, expert healthcare tips, and more. -> https://includedhealth.com/blog/ | Resources Find our latest perspectives, research, testimonials -> https://includedhealth.com/resources/ | Explore all resources Find our latest perspectives, research, testimonials -> https://includedhealth.com/resources/ | How lululemon rolled out a unique style of benefits for their U.S. employees -> https://includedhealth.com/resources/how-lululemon-rolled-out-a-unique-style-of-benefits-for-their-us-employees/ | Case Studies -> https://includedhealth.com/resources/success-story/",yes,2026 Healthcare Cost Reduction Playbook -> https://includedhealth.com/resources/2026-healthcare-cost-reduction-playbook/,yes,Legal -> https://includedhealth.com/legal/ | Terms of Service -> https://includedhealth.com/legal/terms/ | Privacy Policy -> https://includedhealth.com/legal/privacy/ | Notice of Nondiscrimination -> https://includedhealth.com/legal/notice-of-nondiscrimination/,ok,https://includedhealth.com/
74,Quantum Health,https://quantum-health.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Guide your people to better care,Talk to sales,https://quantum-health.com/talk-to-sales,high,quantified outcomes/stats; case studies,long,828,3462,154:137,155:178,image 76,62018,ok,https://quantum-health.com/,,yes,AI,yes,Google Tag Manager,yes,"Read all case studies -> https://quantum-health.com/case-studies | ReportHow Provider Connection Shapes Cost, Quality and Experience -> https://quantum-health.com/reports/how-provider-connection-shapes-cost-quality-and-experience | ReportCan’t-Miss Healthcare and Benefits Trends for 2026 -> https://quantum-health.com/reports/healthcare-and-benefits-trends-for-2026 | WebinarNew research: Why balance matters in healthcare engagement -> https://quantum-health.com/webinars/new-research-why-balance-matters-in-healthcare-engagement | Webinars -> https://quantum-health.com/webinars",yes,Download our mobile app -> https://quantum-health.com/members,yes,Privacy policy -> https://quantum-health.com/privacy-policy | Terms of use -> https://quantum-health.com/terms-of-use,ok,https://quantum-health.com/
75,Collective Health,https://collectivehealth.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Stop managing health benefits in the dark.,Contact Us,https://collectivehealth.com/contact-us/,high,quantified outcomes/stats,very long,828,6497,154:141,155:181,image 77,63064,ok,https://collectivehealth.com/,,yes,AI; artificial intelligence,yes,Google Analytics / gtag; Google Tag Manager,yes,Blog -> https://collectivehealth.com/blog/ | Breaking the Chains: Creative Destruction and Employer Influence in Healthcare w -> https://collectivehealth.com/blog/benefits-shop-talk/breaking-the-chains-creative-destruction-and-employer-influence-in- | The Partner Collective™: a new way to discover digital health solutions -> https://collectivehealth.com/blog/under-the-hood/the-partner-collective-a-new-way-to-discover-digital-health-solutions/ | 8 key takeaways for benefits leaders from The Benefits Playbook -> https://collectivehealth.com/blog/healthy-points-of-view/8-key-takeaways-for-benefits-leaders-from-the-benefits-playbook | Watch sessions on-demand -> https://events.collectivehealth.com/together-2026-on-demand?utm_source=website&utm_medium=website,yes,8 key takeaways for benefits leaders from The Benefits Playbook -> https://collectivehealth.com/blog/healthy-points-of-view/8-key-takeaways-for-benefits-leaders-from-the-benefits-playbook | On-demand -> https://offers.collectivehealth.com/on-demand-webinar-when-healthcare-speaks-your-language | On-demand -> https://events.collectivehealth.com/cai-webinar-2026,yes,The Evolving Landscape of Privacy and Cybersecurity: Essential Strategies for Le -> https://medcitynews.com/2026/03/the-evolving-landscape-of-privacy-and-cybersecurity-essential-strategies-for-legal-and-c | Personal data security -> https://collectivehealth.com/trust/ | Privacy -> https://collectivehealth.com/privacy-policy/,ok,https://collectivehealth.com/
76,Rightway,https://www.rightwayhealthcare.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Stop choosing between employee health and your bottom line.,Request a demo,https://www.rightwayhealthcare.com/demo,high,quantified outcomes/stats,long,828,4416,154:145,155:184,image 78,64086,ok,https://www.rightwayhealthcare.com/,,no,,yes,Google Tag Manager,yes,View case studies -> https://www.rightwayhealthcare.com/resources/case-studies,no,,yes,Terms & conditions -> https://www.rightwayhealthcare.com/terms-services | Privacy policy -> https://www.rightwayhealthcare.com/privacy-policy | Compliance -> https://www.rightwayhealthcare.com/compliance,ok,https://www.rightwayhealthcare.com/
77,Nava Benefits,https://www.navabenefits.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,The modern employee benefits broker. | FIX HEALTHCARELIVE 2026,Talk to an expert,https://www.navabenefits.com/get-started,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof,long,829,4508,154:149,155:187,image 79,65109,ok,https://www.navabenefits.com/,,yes,AI; ai,yes,Google Analytics / gtag; Google Tag Manager; HubSpot; VWO,yes,Blog -> https://www.navabenefits.com/blog | Events -> https://www.navabenefits.com/events | BlogNotes and musings from our team of experts -> https://www.navabenefits.com/blog | EventsLearn from the best in benefits & HR -> https://www.navabenefits.com/events | Learn more -> https://www.navabenefits.com/field-events/fix-healthcare-live-2026,no,,yes,Security & compliance | Compliance resources -> https://www.navabenefits.com/resource-library/compliance | Do Not Sell or Share My Personal Information -> https://www.navabenefits.com/privacy-notice | Privacy -> https://www.navabenefits.com/privacy-notice,ok,https://www.navabenefits.com/
78,Devoted Health,https://devoted.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,,Contact us,https://devoted.com/contact-us,high,quantified outcomes/stats,long,817,4096,155:189,155:239,image 80,66126,ok,https://devoted.com/,,no,,yes,Google Tag Manager,yes,Download now -> https://hello.devoted.com/evg/eng/guide-gen/lp/26-1a?utm_source=content_direct&utm_medium=homepage&utm_campaign=&utm_ter | Ask a Devoted Guide -> https://www.devoted.com/member-guides/ | Your Medicare Options -> https://devoted.com/resources/your-medicare-options/,yes,Download now -> https://hello.devoted.com/evg/eng/guide-gen/lp/26-1a?utm_source=content_direct&utm_medium=homepage&utm_campaign=&utm_ter | Ask a Devoted Guide -> https://www.devoted.com/member-guides/ | Code of Conduct -> https://assets.devoted.com/policies/DH%20Code%20of%20Conduct.pdf,yes,Terms of Use -> https://devoted.com/terms-of-use/ | Privacy Policy -> https://devoted.com/privacy-policy/ | Compliance -> https://devoted.com/compliance/,ok,https://devoted.com/
79,Clover Health,https://www.cloverhealth.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Get the Medicare Coverage You’ve Been Missing,Contact Us,https://www.cloverhealth.com/members/contact-us,high,quantified outcomes/stats,medium,813,2693,155:193,155:245,image 81,67135,ok,https://www.cloverhealth.com/,,no,,yes,Google Tag Manager; Segment,yes,Contact Us -> https://www.cloverhealth.com/enroll-guide | Medicare Resources -> https://www.cloverhealth.com/ | Read More -> https://www.cloverhealth.com/blog/articles/clover-assistant-preferred-provider-benefits | Member Resources -> https://www.cloverhealth.com/members/member-resources | /members/member-resources -> https://www.cloverhealth.com/members/member-resources,yes,Contact Us -> https://www.cloverhealth.com/enroll-guide | Request a Call -> https://www.cloverhealth.com/enroll-guide,yes,Notice of Privacy Practices -> https://www.cloverhealth.com/filer/file/1600082360/2031/ | Developer Terms of Use -> https://www.cloverhealth.com/developers/termsofuse | Privacy Policy -> https://www.cloverhealth.com/privacy-policy,ok,https://www.cloverhealth.com/
80,Turquoise Health,https://turquoise.health/,Insurance / payer,Members / payers / providers,Health plan / payer product,Tomorrow’s way to get healthcare paid,Request a demo,https://turquoise.health/platform/analyze,manual web,quantified outcomes/stats; customer proof; case studies,long,813,4347,155:197,155:248,image 82,68142,ok,https://turquoise.health/,Automated extraction picked a product link; corrected to hero CTA from live page.,yes,AI,yes,Google Tag Manager; HubSpot; Cookiebot / OneTrust,yes,/resources/reports/how-ai-is-changing-work-for-managed-care-teams -> https://turquoise.health/resources/reports/how-ai-is-changing-work-for-managed-care-teams | BlogReflections from a Day of testifying on The Hill -> https://turquoise.health/resources/blog/reflections-from-a-day-of-testifying-on-the-hill | BlogGuide to the Turquoise Connector (MCP) -> https://turquoise.health/resources/blog/guide-to-the-turquoise-connector-mcp | /resources-hub -> https://turquoise.health/resources-hub | /resources/case-studies -> https://turquoise.health/resources/case-studies,yes,BlogGuide to the Turquoise Connector (MCP) -> https://turquoise.health/resources/blog/guide-to-the-turquoise-connector-mcp,yes,/platform/compliance -> https://turquoise.health/platform/compliance | Consumer Pricing Tools -> https://turquoise.health/platform/compliance | Compliance -> https://turquoise.health/platform/compliance | MRF Generation -> https://turquoise.health/platform/compliance | Privacy Policy -> https://turquoise.health/legal/privacy-policy,ok,https://turquoise.health/
81,Sidecar Health,https://www.sidecarhealth.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,What if you could get employees to treat healthcare dollars like their own?,Let’s talk,https://www.sidecarhealth.com/,high,quantified outcomes/stats,short,832,1444,155:205,156:251,image 83,69158,ok,https://www.sidecarhealth.com/,,no,,yes,Google Analytics / gtag; Google Tag Manager,yes,Blog -> https://www.sidecarhealth.com/blog,yes,Download the app -> https://sidecarhealth.com/download-the-sidecar-health-app/,yes,Trust Center -> https://trust.sidecarhealth.com/ | Disclosures -> https://www.sidecarhealth.com/legal/disclosures | Legal notices -> https://www.sidecarhealth.com/legal/legal-notices | Privacy -> https://www.sidecarhealth.com/legal/privacy-statements | Terms -> https://www.sidecarhealth.com/legal/terms-of-use,ok,https://www.sidecarhealth.com/
82,Fuze Health,https://rx.fuzehealth.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,The Future of Pharmacy | Industry-Leading Innovation,Contact Us,https://rx.fuzehealth.com/contact,high,quantified outcomes/stats,long,832,4587,155:210,156:254,image 84,70186,ok,https://rx.fuzehealth.com/,,no,,yes,Google Analytics / gtag; Cookiebot / OneTrust,yes,API guides -> https://rx.fuzehealth.com/api-docs/introduction,no,,yes,Internet Pharmacy Site Disclosure -> https://rx.fuzehealth.com/legal/internet-pharmacy-site-disclosure-hayward | Notice of Privacy Practices -> https://rx.fuzehealth.com/legal/nopp | Terms and Conditions -> https://rx.fuzehealth.com/legal/terms-and-conditions | Privacy Policy -> https://rx.fuzehealth.com/legal/privacy,ok,https://rx.fuzehealth.com/
83,DoseSpot,https://dosespot.com/,Revenue cycle / admin workflow,Providers / healthcare operators,Healthcare operations platform,"Patient Connected ePrescribing Software for Smarter, Safer Prescriptions",Contact Support,https://dosespot.com/contact-support/,high,quantified outcomes/stats; customer proof,long,833,3207,155:214,156:257,image 85,71211,ok,https://dosespot.com/,,no,,yes,Google Analytics / gtag; Google Tag Manager; LinkedIn Insight; HubSpot; Microsoft Clarity,yes,https://dosespot.com/news-events/ -> https://dosespot.com/news-events/ | Resources 3 2 -> https://dosespot.com/resources/ | https://dosespot.com/blog/ -> https://dosespot.com/blog/ | https://dosespot.com/resources/ -> https://dosespot.com/resources/ | Blog -> https://dosespot.com/blog/,yes,Download Our Guide -> https://go.dosespot.com/resources-build_or_buy,yes,Legal -> https://dosespot.com/category/legal/ | Privacy Policy -> https://dosespot.com/privacy-policy/,ok,https://dosespot.com/
